,scenario_id,var_vector,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
96,G_199,Consequentialist,unweighted,-2.0,0.9333333333333332,0.9666666666666667,0.03333333333333344
97,G_269,Consequentialist,unweighted,-2.0,0.20000000000000004,0.19999999999999998,-5.551115123125783e-17
98,G_523,Consequentialist,unweighted,-2.0,0.9,0.9333333333333332,0.033333333333333215
99,G_123,Consequentialist,unweighted,-2.0,0.30000000000000004,0.16666666666666666,-0.1333333333333334
100,G_104,Consequentialist,unweighted,-2.0,0.049999999999999996,0.08333333333333333,0.03333333333333333
101,H_088,Consequentialist,unweighted,-2.0,0.2333333333333333,0.15,-0.08333333333333331
102,G_592,Consequentialist,unweighted,-2.0,0.8166666666666668,0.7333333333333334,-0.08333333333333337
103,H_087,Consequentialist,unweighted,-2.0,0.65,0.48333333333333334,-0.16666666666666669
104,G_114,Consequentialist,unweighted,-2.0,0.4833333333333334,0.3166666666666667,-0.16666666666666669
105,G_240,Consequentialist,unweighted,-2.0,0.5254385964912281,0.3990196078431372,-0.12641898864809092
106,G_275,Consequentialist,unweighted,-2.0,0.15000000000000002,0.18333333333333335,0.033333333333333326
107,H_093,Consequentialist,unweighted,-2.0,0.36666666666666664,0.4166666666666667,0.050000000000000044
108,H_023,Consequentialist,unweighted,-2.0,0.03333333333333333,0.09999999999999999,0.06666666666666665
109,G_227,Consequentialist,unweighted,-2.0,0.8166666666666668,0.85,0.033333333333333215
110,H_084,Consequentialist,unweighted,-2.0,0.9500000000000001,0.9500000000000001,0.0
111,G_109,Consequentialist,unweighted,-2.0,0.3,0.3333333333333333,0.033333333333333326
112,G_438,Consequentialist,unweighted,-2.0,0.0,0.0,0.0
113,G_401,Consequentialist,unweighted,-2.0,0.75,0.6666666666666666,-0.08333333333333337
114,G_482,Consequentialist,unweighted,-2.0,0.2333333333333333,0.21666666666666667,-0.016666666666666635
115,G_163,Consequentialist,unweighted,-2.0,0.9500000000000001,0.8482456140350877,-0.10175438596491237
116,G_009,Consequentialist,unweighted,-2.0,0.85,0.7833333333333333,-0.06666666666666665
117,G_312,Consequentialist,unweighted,-2.0,0.9500000000000001,0.9666666666666667,0.016666666666666607
118,G_044,Consequentialist,unweighted,-2.0,0.4000000000000001,0.39999999999999997,-1.1102230246251565e-16
119,H_027,Consequentialist,unweighted,-2.0,0.65,0.7000000000000001,0.050000000000000044
120,G_195,Consequentialist,unweighted,-2.0,0.21666666666666665,0.16666666666666666,-0.04999999999999999
121,G_347,Consequentialist,unweighted,-2.0,0.6666666666666666,0.5666666666666667,-0.09999999999999998
122,G_149,Consequentialist,unweighted,-2.0,0.7333333333333334,0.6333333333333333,-0.10000000000000009
123,G_179,Consequentialist,unweighted,-2.0,0.11666666666666665,0.13333333333333333,0.016666666666666677
124,G_255,Consequentialist,unweighted,-2.0,0.5499999999999999,0.6,0.050000000000000044
125,G_113,Consequentialist,unweighted,-2.0,0.75,0.7666666666666666,0.016666666666666607
126,G_458,Consequentialist,unweighted,-2.0,0.0,0.0,0.0
127,H_002,Consequentialist,unweighted,-2.0,0.016666666666666666,0.0,-0.016666666666666666
128,G_199,Consequentialist,unweighted,-1.0,0.9333333333333332,0.8666666666666667,-0.06666666666666654
129,G_269,Consequentialist,unweighted,-1.0,0.20000000000000004,0.18333333333333335,-0.01666666666666669
130,G_523,Consequentialist,unweighted,-1.0,0.9,0.9333333333333332,0.033333333333333215
131,G_123,Consequentialist,unweighted,-1.0,0.30000000000000004,0.19999999999999998,-0.10000000000000006
132,G_104,Consequentialist,unweighted,-1.0,0.049999999999999996,0.016666666666666666,-0.033333333333333326
133,H_088,Consequentialist,unweighted,-1.0,0.2333333333333333,0.21666666666666667,-0.016666666666666635
134,G_592,Consequentialist,unweighted,-1.0,0.8166666666666668,0.7333333333333333,-0.08333333333333348
135,H_087,Consequentialist,unweighted,-1.0,0.65,0.5499999999999999,-0.10000000000000009
136,G_114,Consequentialist,unweighted,-1.0,0.4833333333333334,0.45,-0.03333333333333338
137,G_240,Consequentialist,unweighted,-1.0,0.5254385964912281,0.4166666666666667,-0.10877192982456146
138,G_275,Consequentialist,unweighted,-1.0,0.15000000000000002,0.2833333333333334,0.13333333333333336
139,H_093,Consequentialist,unweighted,-1.0,0.36666666666666664,0.3833333333333333,0.016666666666666663
140,H_023,Consequentialist,unweighted,-1.0,0.03333333333333333,0.08333333333333333,0.049999999999999996
141,G_227,Consequentialist,unweighted,-1.0,0.8166666666666668,0.8833333333333333,0.06666666666666654
142,H_084,Consequentialist,unweighted,-1.0,0.9500000000000001,0.9500000000000001,0.0
143,G_109,Consequentialist,unweighted,-1.0,0.3,0.39999999999999997,0.09999999999999998
144,G_438,Consequentialist,unweighted,-1.0,0.0,0.0,0.0
145,G_401,Consequentialist,unweighted,-1.0,0.75,0.7666666666666666,0.016666666666666607
146,G_482,Consequentialist,unweighted,-1.0,0.2333333333333333,0.26666666666666666,0.033333333333333354
147,G_163,Consequentialist,unweighted,-1.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
148,G_009,Consequentialist,unweighted,-1.0,0.85,0.7333333333333333,-0.1166666666666667
149,G_312,Consequentialist,unweighted,-1.0,0.9500000000000001,0.9333333333333332,-0.01666666666666683
150,G_044,Consequentialist,unweighted,-1.0,0.4000000000000001,0.3,-0.10000000000000009
151,H_027,Consequentialist,unweighted,-1.0,0.65,0.7666666666666666,0.11666666666666659
152,G_195,Consequentialist,unweighted,-1.0,0.21666666666666665,0.18333333333333335,-0.0333333333333333
153,G_347,Consequentialist,unweighted,-1.0,0.6666666666666666,0.5394736842105263,-0.1271929824561403
154,G_149,Consequentialist,unweighted,-1.0,0.7333333333333334,0.6833333333333332,-0.050000000000000155
155,G_179,Consequentialist,unweighted,-1.0,0.11666666666666665,0.13333333333333333,0.016666666666666677
156,G_255,Consequentialist,unweighted,-1.0,0.5499999999999999,0.4666666666666666,-0.08333333333333331
157,G_113,Consequentialist,unweighted,-1.0,0.75,0.7166666666666667,-0.033333333333333326
158,G_458,Consequentialist,unweighted,-1.0,0.0,0.0,0.0
159,H_002,Consequentialist,unweighted,-1.0,0.016666666666666666,0.016666666666666666,0.0
160,G_199,Consequentialist,unweighted,0.0,0.9333333333333332,0.9333333333333332,0.0
161,G_269,Consequentialist,unweighted,0.0,0.20000000000000004,0.25,0.04999999999999996
162,G_523,Consequentialist,unweighted,0.0,0.9,0.9,0.0
163,G_123,Consequentialist,unweighted,0.0,0.30000000000000004,0.2833333333333334,-0.016666666666666663
164,G_104,Consequentialist,unweighted,0.0,0.049999999999999996,0.09999999999999999,0.049999999999999996
165,H_088,Consequentialist,unweighted,0.0,0.2333333333333333,0.2333333333333333,0.0
166,G_592,Consequentialist,unweighted,0.0,0.8166666666666668,0.7333333333333334,-0.08333333333333337
167,H_087,Consequentialist,unweighted,0.0,0.65,0.75,0.09999999999999998
168,G_114,Consequentialist,unweighted,0.0,0.4833333333333334,0.4166666666666667,-0.06666666666666671
169,G_240,Consequentialist,unweighted,0.0,0.5254385964912281,0.43333333333333335,-0.0921052631578948
170,G_275,Consequentialist,unweighted,0.0,0.15000000000000002,0.14074074074074072,-0.0092592592592593
171,H_093,Consequentialist,unweighted,0.0,0.36666666666666664,0.43333333333333335,0.06666666666666671
172,H_023,Consequentialist,unweighted,0.0,0.03333333333333333,0.18333333333333335,0.15000000000000002
173,G_227,Consequentialist,unweighted,0.0,0.8166666666666668,0.85,0.033333333333333215
174,H_084,Consequentialist,unweighted,0.0,0.9500000000000001,0.9833333333333334,0.033333333333333326
175,G_109,Consequentialist,unweighted,0.0,0.3,0.38333333333333336,0.08333333333333337
176,G_438,Consequentialist,unweighted,0.0,0.0,0.0,0.0
177,G_401,Consequentialist,unweighted,0.0,0.75,0.7333333333333333,-0.01666666666666672
178,G_482,Consequentialist,unweighted,0.0,0.2333333333333333,0.3833333333333333,0.15
179,G_163,Consequentialist,unweighted,0.0,0.9500000000000001,0.9333333333333332,-0.01666666666666683
180,G_009,Consequentialist,unweighted,0.0,0.85,0.7999999999999999,-0.050000000000000044
181,G_312,Consequentialist,unweighted,0.0,0.9500000000000001,0.9500000000000001,0.0
182,G_044,Consequentialist,unweighted,0.0,0.4000000000000001,0.3333333333333333,-0.06666666666666676
183,H_027,Consequentialist,unweighted,0.0,0.65,0.6833333333333335,0.03333333333333344
184,G_195,Consequentialist,unweighted,0.0,0.21666666666666665,0.26666666666666666,0.05000000000000002
185,G_347,Consequentialist,unweighted,0.0,0.6666666666666666,0.6333333333333333,-0.033333333333333326
186,G_149,Consequentialist,unweighted,0.0,0.7333333333333334,0.75,0.016666666666666607
187,G_179,Consequentialist,unweighted,0.0,0.11666666666666665,0.08333333333333333,-0.033333333333333326
188,G_255,Consequentialist,unweighted,0.0,0.5499999999999999,0.5833333333333334,0.03333333333333344
189,G_113,Consequentialist,unweighted,0.0,0.75,0.75,0.0
190,G_458,Consequentialist,unweighted,0.0,0.0,0.0,0.0
191,H_002,Consequentialist,unweighted,0.0,0.016666666666666666,0.016666666666666666,0.0
192,G_199,Consequentialist,unweighted,1.0,0.9333333333333332,0.9333333333333332,0.0
193,G_269,Consequentialist,unweighted,1.0,0.20000000000000004,0.26666666666666666,0.06666666666666662
194,G_523,Consequentialist,unweighted,1.0,0.9,0.85,-0.050000000000000044
195,G_123,Consequentialist,unweighted,1.0,0.30000000000000004,0.3333333333333333,0.03333333333333327
196,G_104,Consequentialist,unweighted,1.0,0.049999999999999996,0.03333333333333333,-0.016666666666666663
197,H_088,Consequentialist,unweighted,1.0,0.2333333333333333,0.19999999999999998,-0.033333333333333326
198,G_592,Consequentialist,unweighted,1.0,0.8166666666666668,0.8000000000000002,-0.016666666666666607
199,H_087,Consequentialist,unweighted,1.0,0.65,0.75,0.09999999999999998
200,G_114,Consequentialist,unweighted,1.0,0.4833333333333334,0.5333333333333333,0.04999999999999993
201,G_240,Consequentialist,unweighted,1.0,0.5254385964912281,0.43333333333333335,-0.0921052631578948
202,G_275,Consequentialist,unweighted,1.0,0.15000000000000002,0.25,0.09999999999999998
203,H_093,Consequentialist,unweighted,1.0,0.36666666666666664,0.43333333333333335,0.06666666666666671
204,H_023,Consequentialist,unweighted,1.0,0.03333333333333333,0.11666666666666665,0.08333333333333331
205,G_227,Consequentialist,unweighted,1.0,0.8166666666666668,0.8666666666666667,0.04999999999999993
206,H_084,Consequentialist,unweighted,1.0,0.9500000000000001,0.9500000000000001,0.0
207,G_109,Consequentialist,unweighted,1.0,0.3,0.3666666666666667,0.06666666666666671
208,G_438,Consequentialist,unweighted,1.0,0.0,0.016666666666666666,0.016666666666666666
209,G_401,Consequentialist,unweighted,1.0,0.75,0.7666666666666666,0.016666666666666607
210,G_482,Consequentialist,unweighted,1.0,0.2333333333333333,0.35000000000000003,0.11666666666666672
211,G_163,Consequentialist,unweighted,1.0,0.9500000000000001,0.9333333333333332,-0.01666666666666683
