,scenario_id,variation,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
127,H_088,Consequentialist,weighted,-2.0,0.2333333333333333,0.18333333333333335,-0.04999999999999996
128,H_027,Consequentialist,weighted,-1.0,0.65,0.85,0.19999999999999996
129,G_109,Consequentialist,weighted,-1.0,0.3,0.4000000000000001,0.10000000000000009
130,G_104,Consequentialist,weighted,-1.0,0.049999999999999996,0.049999999999999996,0.0
131,G_592,Consequentialist,weighted,-1.0,0.8166666666666668,0.7833333333333333,-0.03333333333333344
132,G_275,Consequentialist,weighted,-1.0,0.15000000000000002,0.7833333333333333,0.6333333333333333
133,G_401,Consequentialist,weighted,-1.0,0.75,0.7666666666666666,0.016666666666666607
134,G_240,Consequentialist,weighted,-1.0,0.5254385964912281,0.5,-0.02543859649122815
135,G_114,Consequentialist,weighted,-1.0,0.4833333333333334,0.23333333333333336,-0.25
136,G_009,Consequentialist,weighted,-1.0,0.85,0.8833333333333333,0.033333333333333326
137,G_458,Consequentialist,weighted,-1.0,0.0,0.0,0.0
138,G_269,Consequentialist,weighted,-1.0,0.20000000000000004,0.3166666666666667,0.11666666666666667
139,H_093,Consequentialist,weighted,-1.0,0.36666666666666664,0.3666666666666667,5.551115123125783e-17
140,H_087,Consequentialist,weighted,-1.0,0.65,0.8000000000000002,0.15000000000000013
141,G_255,Consequentialist,weighted,-1.0,0.5499999999999999,0.7333333333333334,0.18333333333333346
142,G_523,Consequentialist,weighted,-1.0,0.9,0.8666666666666667,-0.033333333333333326
143,G_149,Consequentialist,weighted,-1.0,0.7333333333333334,0.6333333333333334,-0.09999999999999998
144,G_312,Consequentialist,weighted,-1.0,0.9500000000000001,0.9500000000000001,0.0
145,G_195,Consequentialist,weighted,-1.0,0.21666666666666665,0.3,0.08333333333333334
146,G_347,Consequentialist,weighted,-1.0,0.6666666666666666,0.85,0.18333333333333335
147,H_023,Consequentialist,weighted,-1.0,0.03333333333333333,0.10000000000000002,0.06666666666666668
