model_id,variation,mean_cps,std_cps,n,t_stat,p_value,cohen_d,flip_rate,positive_shift_rate,negative_shift_rate,zero_shift_rate,average_positive_shift,average_negative_shift,wilcoxon_stat,wilcoxon_p_value,ci_lower,ci_upper,ci_mean,ci_std,boundary_mass,family,color
qwen_qwen3-4b-instruct,Emotional,0.0501207729468599,0.14858751530061343,138,3.962552075232821,5.93985365158816e-05,0.33731483325135714,0.06521739130434782,0.2826086956521739,0.10144927536231885,0.6159420289855072,0.20512820512820512,-0.07738095238095237,1187.5,1.4628072072791316e-05,0.026808574879227047,0.07560386473429952,0.049872632850241544,0.012562272607153162,0.050724637681159424,Qwen,gray
qwen_qwen2-7b-instruct,Emotional,0.08918605390287312,0.17869584336271785,138,5.863028987360415,1.6176011528209748e-08,0.49909417155184055,0.12318840579710146,0.572463768115942,0.16666666666666666,0.2608695652173913,0.1762574950033311,-0.07028985507246377,4423.0,1.0013054074826373e-09,0.060441417175184343,0.11978133740147467,0.0893128929888126,0.01519896925264981,0.08695652173913043,Qwen,gray
qwen_qwen1.5-7b-chat,Emotional,0.05129784367961333,0.1371267718644355,138,4.394570142379611,1.1035176646109988e-05,0.37409065335780484,0.14492753623188406,0.6159420289855072,0.2608695652173913,0.12318840579710146,0.11723598517807225,-0.08016545312081948,5422.0,3.7512539578418704e-06,0.029077383437695788,0.07493872867692947,0.051307970364493576,0.011622146880123639,0.2318840579710145,Qwen,gray
teknium_openhermes-2.5-mistral-7b,Emotional,0.060237698774738314,0.13731874842957814,138,5.153212827199365,4.374518060440058e-07,0.4386706073543214,0.15217391304347827,0.6376811594202898,0.3188405797101449,0.043478260869565216,0.13131124193430696,-0.07369515589329832,6391.5,2.7037809583410887e-06,0.03727423934231714,0.0835640607628762,0.06002178148198003,0.011786816228255755,0.17391304347826086,Mistral,gray
mistral_mixtral-8x7b-instruct_8bit,Emotional,0.11909555691861522,0.20530820253121926,138,6.814418504411655,1.373752005950786e-10,0.5800818255203686,0.12318840579710146,0.4420289855072464,0.11594202898550725,0.4420289855072464,0.2869934650475685,-0.06696340707079872,2764.0,7.238489806940474e-11,0.0857098089733076,0.15506684583469113,0.11953811755270494,0.017698738762165503,0.07246376811594203,Mistral,gray
mistral_mistral-7b-instruct-v0.1,Emotional,0.011095770412580664,0.09520953556446696,138,1.3690413277078328,0.08661335775816378,0.11654053710899209,0.11594202898550725,0.572463768115942,0.427536231884058,0.0,0.07549318972536827,-0.07513128256555869,5353.0,0.118037891598269,-0.0045246452943835305,0.027092435446506778,0.011131258067109382,0.008058313961628776,0.2753623188405797,Mistral,gray
huggingfaceh4_zephyr-7b-beta,Emotional,0.08867617174449632,0.16036548741599707,138,6.495843757929829,7.055688584638056e-10,0.552962942172622,0.11594202898550725,0.6666666666666666,0.2463768115942029,0.08695652173913043,0.15298278949678867,-0.05403249802835489,6739.5,1.2883248485338472e-11,0.06288081537974272,0.11577616007548534,0.08871332334610203,0.013650453371440266,0.11594202898550725,Mistral,gray
meta_llama-3.1-8B-instruct,Emotional,0.03207475209763539,0.08925232036441957,138,4.221660801204362,2.1955300107076403e-05,0.35937163276734246,0.06521739130434782,0.5289855072463768,0.32608695652173914,0.14492753623188406,0.0937995674116799,-0.05380116959064327,4938.0,6.290853096032509e-05,0.01773344139333841,0.047350305110602585,0.03205189486397152,0.00755395371649213,0.11594202898550725,Llama,gray
meta_llama-3.1-70b-instruct,Emotional,0.07144092929275996,0.16904261785818053,138,4.964670482767856,1.0058481054160769e-06,0.4226208171521327,0.10144927536231885,0.644927536231884,0.18840579710144928,0.16666666666666666,0.13843573990676297,-0.09468971574234732,5499.5,7.65330835650365e-10,0.04340754192942407,0.09991939326476416,0.07132563872850249,0.0143814304507126,0.06521739130434782,Llama,gray
meta_llama-3-8B-instruct,Emotional,0.04753713723488705,0.1261313921805743,138,4.42740629424263,9.663500923737706e-06,0.3768858522296428,0.11594202898550725,0.5869565217391305,0.3115942028985507,0.10144927536231885,0.11793152158649238,-0.06958903046724343,5549.5,1.4842749122061732e-05,0.02663875748460512,0.06901102150685007,0.04751075493606529,0.010755699737188656,0.15217391304347827,Llama,gray
meta_llama-2-7b-chat,Emotional,0.025441823815595517,0.15276183258044093,138,1.9564687900119297,0.026221964110546944,0.16654568347233217,0.16666666666666666,0.5507246376811594,0.35507246376811596,0.09420289855072464,0.12739852613620334,-0.1259452306081484,4984.5,0.004942737370510104,-0.0006397348456480433,0.0503233379396964,0.02547770402779581,0.012959457315099622,0.3188405797101449,Llama,gray
deepseek-ai_DeepSeek-V3,Emotional,0.08611746758199848,0.16049193300861103,138,6.3034394525582735,1.860787870880168e-09,0.5365844000232581,0.16666666666666666,0.5289855072463768,0.09420289855072464,0.37681159420289856,0.18220379716414326,-0.10897435897435896,3273.5,7.622349976838007e-10,0.06003051106025934,0.11377113526570044,0.08607531655225019,0.013591144640967796,0.06521739130434782,DeepSeek,gray
deepseek-ai_DeepSeek-V3.1,Emotional,0.09749484419583582,0.1364758176876954,138,8.392000242648296,2.6346266324834742e-14,0.7143745012683365,0.09420289855072464,0.7101449275362319,0.16666666666666666,0.12318840579710146,0.1507240323029797,-0.05724637681159421,6649.0,9.821008135828552e-15,0.07482805746249684,0.12065794770743285,0.09744153134446422,0.011593666347606437,0.057971014492753624,DeepSeek,gray
claude_claude-sonnet-4-5-20250929,Emotional,0.06411038882098244,0.15496695666096297,138,4.859916973396068,1.5840840925433e-06,0.4137036062548694,0.09420289855072464,0.391304347826087,0.06521739130434782,0.5434782608695652,0.1891025676027396,-0.15158944369470687,1786.5,4.6789539357590946e-08,0.03913872267696807,0.09035931153544559,0.06392494441423033,0.013068603879326542,0.050724637681159424,Claude,gray
claude_claude-haiku-4-5-20251001,Emotional,0.06387703379447446,0.1582613471710213,138,4.74143090236125,2.6281069115171526e-06,0.4036174020776361,0.10869565217391304,0.45652173913043476,0.18115942028985507,0.36231884057971014,0.17361890725200968,-0.08491841972956524,3033.5,3.810614690121811e-06,0.03816180948149698,0.09167922976478692,0.06391570315424312,0.013562260864977518,0.036231884057971016,Claude,gray
claude_claude-3-haiku-20240307,Emotional,0.09601449275362318,0.13477857765698378,138,8.36865118228154,3.0037744551978515e-14,0.7123868972559084,0.13768115942028986,0.6811594202898551,0.08695652173913043,0.2318840579710145,0.1540780141843972,-0.10277777777777775,5177.5,7.761333502612299e-14,0.07318840579710147,0.11859903381642513,0.09577506038647343,0.011485436378567745,0.13043478260869565,Claude,gray
openai_gpt-5.1,Emotional,0.037077294685990345,0.16707999982648905,138,2.606892458845368,0.005074248796760511,0.22191342305778522,0.07246376811594203,0.2971014492753623,0.17391304347826086,0.5289855072463768,0.18333333333333335,-0.10000000000000002,1562.0,0.0006888406579293428,0.01014492753623189,0.06654589371980675,0.03702577294685991,0.014303148210237059,0.036231884057971016,GPT,gray
openai_gpt-4o-mini,Emotional,0.1335748792270531,0.2077374495878358,138,7.553522686826976,2.7087131939260676e-12,0.6429985517395833,0.16666666666666666,0.5579710144927537,0.043478260869565216,0.39855072463768115,0.24220779220779223,-0.036111111111111094,3391.0,3.63306324746075e-14,0.10036231884057972,0.16896135265700485,0.13383030193236717,0.017440037605910612,0.07246376811594203,GPT,gray
